time,ax,ay,az,wx,wy,wz,Activity
1.004,0.7561,0.8272,-0.3888,-0.1014,0.1305,-0.0732,WALKING
1.034,0.7561,0.8272,-0.3888,-0.1014,0.1305,-0.0732,WALKING
1.104,0.7561,0.8272,-0.3888,-0.1014,0.1305,-0.0732,WALKING
1.104,-0.9873,0.0645,0.5834,-0.1014,0.1305,-0.0732,WALKING
1.104,-0.9873,0.0645,0.5834,-0.0788,-0.346,-0.1123,WALKING
1.104,-0.9873,0.0645,0.5834,-0.0788,-0.346,-0.1123,WALKING
1.124,-0.9873,0.0645,0.5834,-0.0788,-0.346,-0.1123,WALKING
1.153,-0.9873,0.0645,0.5834,-0.0788,-0.346,-0.1123,WALKING
1.213,-0.9873,0.0645,0.5834,-0.0788,-0.346,-0.1123,WALKING
1.244,-0.9873,0.0645,0.5834,-0.0788,-0.346,-0.1123,WALKING
1.273,-0.9873,0.0645,0.5834,-0.0788,-0.346,-0.1123,WALKING
1.273,-0.9873,0.0645,0.5834,-0.0788,-0.346,-0.1123,WALKING
1.283,1.3904,-0.4418,2.0013,0.2542,0.0584,0.0532,WALKING
1.333,1.3904,-0.4418,2.0013,0.2542,0.0584,0.0532,WALKING
1.333,1.3904,-0.4418,2.0013,0.2542,0.0584,0.0532,WALKING
1.393,1.3904,-0.4418,2.0013,0.2542,0.0584,0.0532,WALKING
1.394,1.3904,-0.4418,2.0013,0.2542,0.0584,0.0532,WALKING
1.457,1.3904,-0.4418,2.0013,0.2542,0.0584,0.0532,WALKING
1.515,-2.8366,-0.6748,-0.6447,-0.2333,-0.5219,0.1412,WALKING
1.515,-2.8366,-0.6748,-0.6447,-0.2333,-0.5219,0.1412,WALKING
1.573,-2.8366,-0.6748,-0.6447,-0.2333,-0.5219,0.1412,WALKING
1.646,-2.8366,-0.6748,-0.6447,-0.2333,-0.5219,0.1412,WALKING
1.646,-1.1806,-0.8066,-0.6686,-0.2333,-0.5219,0.1412,WALKING
1.646,-1.1806,-0.8066,-0.6686,-0.3201,-0.7662,0.3403,WALKING
1.664,-1.1806,-0.8066,-0.6686,-0.3201,-0.7662,0.3403,WALKING
1.694,-1.1806,-0.8066,-0.6686,-0.3201,-0.7662,0.3403,WALKING
1.724,-1.1806,-0.8066,-0.6686,-0.3201,-0.7662,0.3403,WALKING
1.755,-1.1806,-0.8066,-0.6686,-0.3201,-0.7662,0.3403,WALKING
1.784,-1.1806,-0.8066,-0.6686,-0.3201,-0.7662,0.3403,WALKING
1.814,-1.1806,-0.8066,-0.6686,-0.3201,-0.7662,0.3403,WALKING
1.873,-0.6779,-0.4744,0.0235,-0.2186,-0.2507,-0.2376,WALKING
1.873,-0.6779,-0.4744,0.0235,-0.2186,-0.2507,-0.2376,WALKING
1.904,-0.6779,-0.4744,0.0235,-0.2186,-0.2507,-0.2376,WALKING
2.003,-0.6779,-0.4744,0.0235,-0.2186,-0.2507,-0.2376,WALKING
2.003,0.8222,-1.1487,1.5185,-0.2186,-0.2507,-0.2376,WALKING
2.003,0.8222,-1.1487,1.5185,0.0141,0.1611,0.2951,WALKING
2.053,0.8222,-1.1487,1.5185,0.0141,0.1611,0.2951,WALKING
2.083,0.8222,-1.1487,1.5185,0.0141,0.1611,0.2951,WALKING
2.112,0.8222,-1.1487,1.5185,0.0141,0.1611,0.2951,WALKING
2.143,0.8222,-1.1487,1.5185,0.0141,0.1611,0.2951,WALKING
2.172,0.8222,-1.1487,1.5185,0.0141,0.1611,0.2951,WALKING
2.233,0.9666,1.4304,-0.9563,-0.2437,0.4634,-0.171,WALKING
2.263,0.9666,1.4304,-0.9563,-0.2437,0.4634,-0.171,WALKING
2.292,0.9666,1.4304,-0.9563,-0.2437,0.4634,-0.171,WALKING
2.293,0.9666,1.4304,-0.9563,-0.2437,0.4634,-0.171,WALKING
2.293,0.9666,1.4304,-0.9563,-0.2437,0.4634,-0.171,WALKING
2.353,0.9666,1.4304,-0.9563,-0.2437,0.4634,-0.171,WALKING
2.353,0.9666,1.4304,-0.9563,-0.2437,0.4634,-0.171,WALKING
2.363,-1.5343,0.8741,-0.2664,-0.2437,0.4634,-0.171,WALKING
2.363,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.364,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.413,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.413,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.443,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.473,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.473,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.505,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.537,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.537,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.537,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.543,-1.5343,0.8741,-0.2664,-0.4502,0.1006,-0.0995,WALKING
2.544,2.2346,0.8306,0.0796,0.1069,-0.068,0.0208,WALKING
2.592,2.2346,0.8306,0.0796,0.1069,-0.068,0.0208,WALKING
2.592,2.2346,0.8306,0.0796,0.1069,-0.068,0.0208,WALKING
2.684,2.2346,0.8306,0.0796,0.1069,-0.068,0.0208,WALKING
2.713,2.2346,0.8306,0.0796,0.1069,-0.068,0.0208,WALKING
2.773,-3.3498,-0.6958,-1.2738,0.3684,0.224,-0.182,WALKING
2.774,-3.3498,-0.6958,-1.2738,0.3684,0.224,-0.182,WALKING
2.834,-3.3498,-0.6958,-1.2738,0.3684,0.224,-0.182,WALKING
2.864,-3.3498,-0.6958,-1.2738,0.3684,0.224,-0.182,WALKING
2.894,-3.3498,-0.6958,-1.2738,0.3684,0.224,-0.182,WALKING
2.904,-1.7288,-2.9626,1.2946,0.3684,0.224,-0.182,WALKING
2.954,-1.7288,-2.9626,1.2946,-0.1502,-0.2873,0.2041,WALKING
2.954,-1.7288,-2.9626,1.2946,-0.1502,-0.2873,0.2041,WALKING
3.013,-1.7288,-2.9626,1.2946,-0.1502,-0.2873,0.2041,WALKING
3.073,-1.7288,-2.9626,1.2946,-0.1502,-0.2873,0.2041,WALKING
3.073,-1.7288,-2.9626,1.2946,-0.1502,-0.2873,0.2041,WALKING
3.083,-1.7288,-2.9626,1.2946,-0.1502,-0.2873,0.2041,WALKING
3.083,-0.7705,-0.7413,0.8321,-0.4056,-0.3991,-0.2162,WALKING
3.083,-0.7705,-0.7413,0.8321,-0.4056,-0.3991,-0.2162,WALKING
3.105,-0.7705,-0.7413,0.8321,-0.4056,-0.3991,-0.2162,WALKING
3.132,-0.7705,-0.7413,0.8321,-0.4056,-0.3991,-0.2162,WALKING
3.132,-0.7705,-0.7413,0.8321,-0.4056,-0.3991,-0.2162,WALKING
3.132,-0.7705,-0.7413,0.8321,-0.4056,-0.3991,-0.2162,WALKING
3.163,-0.7705,-0.7413,0.8321,-0.4056,-0.3991,-0.2162,WALKING
3.223,-0.7705,-0.7413,0.8321,-0.4056,-0.3991,-0.2162,WALKING
3.253,-0.7705,-0.7413,0.8321,-0.4056,-0.3991,-0.2162,WALKING
3.253,-0.7705,-0.7413,0.8321,-0.4056,-0.3991,-0.2162,WALKING
3.265,2.3891,1.3778,-3.9431,-0.1618,-0.5958,-0.2272,WALKING
3.313,2.3891,1.3778,-3.9431,-0.1618,-0.5958,-0.2272,WALKING
3.343,2.3891,1.3778,-3.9431,-0.1618,-0.5958,-0.2272,WALKING
3.372,2.3891,1.3778,-3.9431,-0.1618,-0.5958,-0.2272,WALKING
3.372,2.3891,1.3778,-3.9431,-0.1618,-0.5958,-0.2272,WALKING
3.433,2.3891,1.3778,-3.9431,-0.1618,-0.5958,-0.2272,WALKING
3.433,2.3891,1.3778,-3.9431,-0.1618,-0.5958,-0.2272,WALKING
3.443,2.3891,1.3778,-3.9431,-0.1618,-0.5958,-0.2272,WALKING
3.443,-1.7966,0.1238,0.9714,-0.1618,-0.5958,-0.2272,WALKING
3.443,-1.7966,0.1238,0.9714,-0.3738,1.34,-0.1991,WALKING
3.493,-1.7966,0.1238,0.9714,-0.3738,1.34,-0.1991,WALKING
3.493,-1.7966,0.1238,0.9714,-0.3738,1.34,-0.1991,WALKING
3.553,-1.7966,0.1238,0.9714,-0.3738,1.34,-0.1991,WALKING
3.583,-1.7966,0.1238,0.9714,-0.3738,1.34,-0.1991,WALKING
3.613,-1.7966,0.1238,0.9714,-0.3738,1.34,-0.1991,WALKING
3.613,-1.7966,0.1238,0.9714,-0.3738,1.34,-0.1991,WALKING
3.613,-1.7966,0.1238,0.9714,-0.3738,1.34,-0.1991,WALKING
3.623,-2.4437,-0.1521,3.579,-0.3738,1.34,-0.1991,WALKING
3.623,-2.4437,-0.1521,3.579,-0.0861,-0.0711,0.1754,WALKING
3.623,-2.4437,-0.1521,3.579,-0.0861,-0.0711,0.1754,WALKING
3.644,-2.4437,-0.1521,3.579,-0.0861,-0.0711,0.1754,WALKING
3.673,-2.4437,-0.1521,3.579,-0.0861,-0.0711,0.1754,WALKING
3.733,-2.4437,-0.1521,3.579,-0.0861,-0.0711,0.1754,WALKING
3.733,-2.4437,-0.1521,3.579,-0.0861,-0.0711,0.1754,WALKING
3.763,-2.4437,-0.1521,3.579,-0.0861,-0.0711,0.1754,WALKING
3.793,-2.4437,-0.1521,3.579,-0.0861,-0.0711,0.1754,WALKING
3.793,-2.4437,-0.1521,3.579,-0.0861,-0.0711,0.1754,WALKING
